"IRMS.ID","Name","Species","Facility","Type","Matrix.1","Matrix.2","isotope.raw","isotope.expected"
"20852","CSI Tuna","N","U.S. EPA","Linearity","High Organic","High Organic",13.34,13.32
"20850","CSI Tuna","N","U.S. EPA","Linearity","High Organic","High Organic",13.43,13.32
"20843","CSI Tuna","N","U.S. EPA","Linearity","High Organic","High Organic",13.33,13.32
"20857","IAEA600","N","U.S. EPA","Normalization","Compound","High Organic",0.86,1
"20860","IAEA600","N","U.S. EPA","Normalization","Compound","High Organic",0.9,1
"20863","IAEA600","N","U.S. EPA","Normalization","Compound","High Organic",0.83,1
"20866","IAEA600","N","U.S. EPA","Normalization","Compound","High Organic",0.89,1
"1_wg","Reference Gas","N","U.S. EPA","Linearity","Reference Gas","Reference Gas",-0.00704046625321642,0
"2_wg","Reference Gas","N","U.S. EPA","Linearity","Reference Gas","Reference Gas",0.00704046625332744,0
"3_wg","Reference Gas","N","U.S. EPA","Linearity","Reference Gas","Reference Gas",-0.0464670772711839,0
"4_wg","Reference Gas","N","U.S. EPA","Linearity","Reference Gas","Reference Gas",-0.0571954067998259,0
"5_wg","Reference Gas","N","U.S. EPA","Linearity","Reference Gas","Reference Gas",-0.0479422225813098,0
"6_wg","Reference Gas","N","U.S. EPA","Linearity","Reference Gas","Reference Gas",-0.0451260360800898,0
"7_wg","Reference Gas","N","U.S. EPA","Linearity","Reference Gas","Reference Gas",0.0293017500252457,0
"8_wg","Reference Gas","N","U.S. EPA","Linearity","Reference Gas","Reference Gas",0.0888439789095141,0
"9_wg","Reference Gas","N","U.S. EPA","Linearity","Reference Gas","Reference Gas",0.138596607098807,0
"10_wg","Reference Gas","N","U.S. EPA","Linearity","Reference Gas","Reference Gas",0.214231330275982,0
"20871","USGS40","N","U.S. EPA","Normalization","Compound","High Organic",-4.82,-4.52
"20874","USGS40","N","U.S. EPA","Normalization","Compound","High Organic",-4.64,-4.52
"20877","USGS40","N","U.S. EPA","Normalization","Compound","High Organic",-4.67,-4.52
"20880","USGS40","N","U.S. EPA","Normalization","Compound","High Organic",-4.8,-4.52
"20858","USGS61","N","U.S. EPA","Normalization","Compound","High Organic",-2.96,-2.87
"20861","USGS61","N","U.S. EPA","Normalization","Compound","High Organic",-3.01,-2.87
"20864","USGS61","N","U.S. EPA","Normalization","Compound","High Organic",-2.91,-2.87
"20869","USGS61","N","U.S. EPA","Normalization","Compound","High Organic",-2.89,-2.87
"20859","USGS63","N","U.S. EPA","Normalization","Compound","High Organic",37.58,37.83
"20862","USGS63","N","U.S. EPA","Normalization","Compound","High Organic",37.57,37.83
"20865","USGS63","N","U.S. EPA","Normalization","Compound","High Organic",37.64,37.83
"20870","USGS63","N","U.S. EPA","Normalization","Compound","High Organic",37.26,37.83
"20872","USGS88","N","U.S. EPA","Normalization","Macromolecule","High Organic",14.84,14.96
"20875","USGS88","N","U.S. EPA","Normalization","Macromolecule","High Organic",14.77,14.96
"20878","USGS88","N","U.S. EPA","Normalization","Macromolecule","High Organic",14.68,14.96
"20881","USGS88","N","U.S. EPA","Normalization","Macromolecule","High Organic",14.8,14.96
"20873","USGS89","N","U.S. EPA","Normalization","Macromolecule","High Organic",6.03,6.25
"20876","USGS89","N","U.S. EPA","Normalization","Macromolecule","High Organic",6.16,6.25
"20879","USGS89","N","U.S. EPA","Normalization","Macromolecule","High Organic",6.13,6.25
"20882","USGS89","N","U.S. EPA","Normalization","Macromolecule","High Organic",6.21,6.25
"20883","USGS90","N","U.S. EPA","Normalization","Plant","Plant",8.48,8.84
"20885","USGS90","N","U.S. EPA","Normalization","Plant","Plant",9.19,8.84
"20886","USGS90","N","U.S. EPA","Normalization","Plant","Plant",8.42,8.84
"20889","USGS90","N","U.S. EPA","Normalization","Plant","Plant",8.58,8.84
"20884","USGS91","N","U.S. EPA","Normalization","Plant","Plant",1.63,1.78
"20887","USGS91","N","U.S. EPA","Normalization","Plant","Plant",1.62,1.78
"20888","USGS91","N","U.S. EPA","Normalization","Plant","Plant",1.57,1.78
"20890","USGS91","N","U.S. EPA","Normalization","Plant","Plant",1.46,1.78
